period,gclock,sclock,x,y,made,three,dist
1,34.119,8,3.9,9.16,0,0,15.897
1,491.679,14,28.93,13.5,1,1,26.324
2,656.28,17,8.06,21.62,0,0,4.395
2,555.88,14,6.04,19.75,0,0,5.309
2,497.72,20,24.45,40.26,0,1,24.525
3,675.559,11,87.2,23.34,1,0,2.271
3,658.039,18,63.57,28.51,1,1,25.423
3,607.239,7,74.55,46.42,0,1,25.699
3,435.92,17,86.43,41.21,1,0,16.375
4,657.479,15,86.11,29.16,0,0,4.926
4,580.559,15,64.19,25.47,0,1,24.564
4,456.64,20,64.21,17.5,0,1,25.66
4,423.48,14,89.76,22.01,0,0,3.155
4,350.32,6,85.48,36.96,1,0,12.398
4,314.399,17,64.5,17.5,1,1,25.383
4,257,18,88.25,25.25,1,0,0.559
4,232.119,14,88.82,26.41,1,0,1.411
4,189.24,8,64.5,33.07,0,1,25.557
4,6.28,0,77.54,3.65,0,1,24.114
1,577.039,18.04,90.15,48.42,0,1,23.461
1,396.72,18.52,85.56,47.55,0,1,22.774
1,290.959,9.08,81.4,46.49,1,0,22.712
1,271.2,13,73.55,5.52,0,1,24.708
1,227,16.48,68.49,39.52,0,1,24.925
1,120.199,11.08,90.43,23.51,1,0,2.245
1,69.12,16.36,61.93,17.31,1,1,27.9
2,268.399,13.88,64.55,21.57,1,1,24.441
2,199.559,22.64,65.868,19.221,0,0,23.6
2,144.52,19.88,70.57,5.57,0,1,26.608
3,653.159,10.24,17.63,7.47,0,0,21.46
3,397,14.24,29.5,19.55,0,1,24.854
3,243.839,17.16,6.2,22.28,1,0,2.881
3,227.52,17.2,26.13,38.48,0,1,24.853
3,149.72,13.92,6.75,22.46,0,0,2.949
3,111.76,21.64,23.5,6.79,1,1,25.781
3,81.16,17.88,19.36,3.5,0,1,25.716
3,7.88,7.88,5.96,27.89,0,0,2.975
4,71.72,11.72,6.55,1.55,1,1,23.486
1,483.839,12.44,17.21,21.21,0,0,12.546
1,408.119,16.36,29.37,30.19,1,1,24.672
1,326.88,18,21.81,29.22,1,0,17.089
1,303.6,17.88,20.64,46.55,0,1,26.481
1,82.48,17.44,7.86,29.13,0,0,4.885
1,62.2,17.56,27.35,12.35,0,1,25.464
2,394.32,12.64,30.58,18.44,0,1,26.165
2,269.119,20.76,26.07,41.05,1,1,26.288
2,252.24,20.32,29.52,18.38,1,1,25.156
3,706.119,10.12,63.46,27.36,1,1,25.399
3,591.96,14.72,89.6,19.63,0,0,5.436
3,464.799,11.04,87.54,23.25,0,0,2.127
3,373.6,5.92,87.87,23.7,0,0,1.569
3,235.759,14.4,73.35,5.17,0,1,25.107
3,206.479,11.72,63.53,26.6,1,1,25.27
3,179.639,20.96,67.142,15.508,0,0,23.6
3,160.8,19.36,88.66,2.33,0,1,22.67
4,197.16,20.96,61.75,37.4,0,1,29.711
4,121.839,13.36,87.93,21.5,1,0,3.594
4,70.959,20.04,63.69,27.51,1,1,25.185
4,44.34,18.52,87.64,22.5,1,0,2.735
1,571.359,13.6,78.39,42.05,1,0,19.95
1,480.72,12.76,72.92,5.12,0,1,25.412
1,421.679,16.16,72.27,44.74,0,1,25.714
1,293.76,20.12,88.05,26.96,0,0,2.081
1,133.199,16.92,74.4,46.43,0,1,25.79
1,22.92,9.48,65.5,13.5,0,1,25.938
2,421.92,16.6,90.34,2.14,1,1,22.915
2,309.079,18.72,64.5,16.5,0,1,25.696
2,178.52,15.96,87.34,28.09,1,0,3.396
2,131.08,8.16,85.88,2.12,0,1,23.059
2,52.919,16.24,82.3,11.07,0,0,15.35
2,25.28,16.84,73.69,46.13,0,1,25.947
3,627.119,17.12,24.69,5.09,1,1,27.826
3,367.92,9.52,13.81,24.16,0,0,8.601
3,285.519,20.92,17.38,26.53,1,0,12.226
3,208.6,8.04,9.03,15.7,1,0,10.038
3,192,21.88,33.27,35.34,0,1,29.866
3,71,21.32,22.11,7.36,0,1,24.401
