Game,Set,Player,Type,X,Y,AceRoof
OLOL,1,5,1,161,68,A
OLOL,1,3,1,131,-46,
OLOL,1,8,2,154,114,
OLOL,1,1,1,102,-5,
OLOL,1,2,2,68,16,
OLOL,1,2,2,106,81,
OLOL,1,2,2,114,-67,A
OLOL,1,2,3,97,163,O
OLOL,1,6,2,116,55,
OLOL,1,6,3,163,127,
OLOL,1,3,2,126,50,
OLOL,1,3,3,103,156,
OLOL,1,1,2,124,13,
OLOL,1,1,3,92,81,
OLOL,1,5,3,4,0,
OLOL,1,4,2,86,1,
OLOL,1,4,2,86,1,
OLOL,1,4,2,120,74,
OLOL,1,4,3,110,10,
OLOL,1,2,2,88,9,
OLOL,1,2,3,232,4,
OLOL,1,6,2,116,45,
OLOL,1,6,2,118,-61,
OLOL,1,6,3,104,119,
OLOL,2,3,3,129,-58,
OLOL,2,1,2,163,-120,
OLOL,2,1,2,74,-1,
OLOL,2,1,2,114,-13,
OLOL,2,1,2,146,-15,
OLOL,2,1,2,155,-127,
OLOL,2,5,3,6,24,
OLOL,2,4,2,149,-97,
OLOL,2,4,3,114,28,
OLOL,2,2,2,141,132,
OLOL,2,2,2,155,-22,
OLOL,2,2,2,130,-86,
OLOL,2,2,2,159,50,
OLOL,2,2,3,2,-29,
OLOL,2,7,2,94,38,
OLOL,2,7,2,72,109,
OLOL,2,7,2,137,-37,
OLOL,2,7,2,161,-6,
OLOL,2,7,3,93,91,
OLOL,2,8,3,112,-11,
OLOL,2,1,2,143,-103,
OLOL,2,1,3,3,54,
OLOL,2,9,2,63,-32,
OLOL,2,9,3,109,-168,
OLOL,2,4,3,147,120,
OLOL,3,1,2,96,149,
OLOL,3,1,2,82,42,
OLOL,3,1,3,7,-1,
OLOL,3,11,2,187,113,
OLOL,3,11,2,115,4,
OLOL,3,11,3,80,-28,
OLOL,3,3,3,153,10,
OLOL,3,2,3,103,167,
OLOL,3,5,3,161,128,
OLOL,3,5,3,11,-119,
OLOL,3,10,2,153,132,
OLOL,3,10,3,102,53,
OLOL,3,1,3,110,133,
OLOL,3,11,2,139,92,
OLOL,3,11,2,151,141,
OLOL,3,11,2,151,141,
OLOL,3,11,2,110,-56,
OLOL,3,11,1,165,26,A
OLOL,3,3,3,153,-13,
OLOL,3,2,2,104,-65,
OLOL,3,2,3,5,144,
OLOL,3,5,1,212,2,A
OLOL,3,5,2,173,-71,
OLOL,3,5,3,143,-23,
LC,1,1,2,161,88,A
LC,1,1,3,5,6,
LC,1,4,2,115,-118,
LC,1,4,3,80,-3,
LC,1,7,3,175,-95,
LC,1,2,3,93,176,
LC,1,3,2,170,-23,
LC,1,3,2,145,99,
LC,1,3,3,7,0,
LC,1,5,3,1,30,
LC,1,1,2,164,93,
LC,1,4,2,93,-6,
LC,1,4,3,114,-43,
LC,1,7,2,150,-75,
LC,1,7,3,181,122,
LC,1,2,2,137,85,
LC,1,2,3,194,6,
LC,1,3,3,64,15,
LC,1,3,3,64,15,
LC,1,5,3,188,9,
LC,1,5,3,188,9,
LC,1,1,3,214,9,
LC,1,1,2,214,9,
LC,1,1,2,171,97,
LC,1,1,3,116,-19,
LC,1,4,2,147,10,
LC,1,4,3,112,62,
LC,1,4,3,112,62,O
LC,2,1,3,140,78,
LC,2,8,2,158,-4,A
LC,2,8,2,107,-124,
LC,2,8,2,184,-79,A
LC,2,8,2,137,108,
LC,2,8,2,137,108,
LC,2,8,3,127,168,
LC,2,4,2,87,65,
LC,2,4,2,125,65,
LC,2,4,2,120,-38,
LC,2,4,3,125,11,
LC,2,2,3,211,166,
LC,2,3,2,143,54,
LC,2,3,2,154,-146,A
LC,2,3,2,105,123,
LC,2,3,2,161,-53,
LC,2,3,2,144,127,A
LC,2,3,2,155,7,
LC,2,3,3,155,7,
LC,2,1,2,174,-70,
LC,2,1,3,156,-28,
LC,2,8,2,182,-20,
LC,2,8,3,130,127,
LC,2,4,3,126,159,
LC,2,2,2,184,31,
LC,2,2,2,171,-121,
LC,2,2,2,177,-88,
LC,3,1,2,205,133,
LC,3,1,2,159,57,A
LC,3,1,3,132,81,
LC,3,3,3,91,77,
LC,3,3,2,91,77,
LC,3,3,2,91,77,
LC,3,3,2,147,-6,
LC,3,3,2,134,42,
LC,3,3,3,96,36,
LC,3,5,2,204,2,A
LC,3,5,2,163,40,
LC,3,5,2,214,142,A
LC,3,5,2,141,25,
LC,3,2,3,174,15,
LC,3,4,3,172,-39,
LC,3,9,3,5,94,
LC,3,1,2,177,125,
LC,3,1,2,190,-15,
LC,3,1,2,112,14,
LC,3,1,2,59,25,
LC,3,1,2,145,-135,A
LC,3,1,2,166,115,
